image_local_path,categories,technique
./miclib_output/images/000001.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000002.jpg,Metal or alloy,Scanning electron microscopy (SEM)
./miclib_output/images/000003.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000004.jpg,Metal or alloy,Scanning electron microscopy (SEM)
./miclib_output/images/000148.jpg,Ceramic,Reflected light microscopy
./miclib_output/images/000149.jpg,Ceramic,Reflected light microscopy
./miclib_output/images/000075.jpg,"Metal or alloy",Scanning electron microscopy (SEM)
./miclib_output/images/000076.jpg,"Metal or alloy",Scanning electron microscopy (SEM)
./miclib_output/images/000078.jpg,"Metal or alloy",Scanning electron microscopy (SEM)
./miclib_output/images/000079.jpg,"Metal or alloy",Scanning electron microscopy (SEM)
./miclib_output/images/000080.jpg,"Metal or alloy",Scanning electron microscopy (SEM)
./miclib_output/images/000166.jpg,Composite,Reflected light microscopy
./miclib_output/images/000167.jpg,Composite,Reflected light microscopy
./miclib_output/images/000168.jpg,Composite,Reflected light microscopy
./miclib_output/images/000169.jpg,Composite,Reflected light microscopy
./miclib_output/images/000555.jpg,Polymer,Transmission electron microscopy (TEM)
./miclib_output/images/000556.jpg,Polymer,Transmission electron microscopy (TEM)
./miclib_output/images/000867.jpg,Metal or alloy,Atomic force microscopy (AFM)
./miclib_output/images/000868.jpg,Ceramic,Atomic force microscopy (AFM)
./miclib_output/images/000869.jpg,Ceramic,Atomic force microscopy (AFM)
./miclib_output/images/000925.jpg,Metal or alloy,Transmitted light microscopy
./miclib_output/images/000926.jpg,Metal or alloy,Transmitted light microscopy
./miclib_output/images/000927.jpg,Metal or alloy,Transmitted light microscopy
./miclib_output/images/000928.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000929.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000930.jpg,Metal or alloy,Transmitted light microscopy
./miclib_output/images/000931.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000932.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000933.jpg,Metal or alloy,Transmitted light microscopy
./miclib_output/images/000934.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000935.jpg,Metal or alloy,Reflected light microscopy
./miclib_output/images/000861.jpg,"Ceramic, Polymer",Atomic force microscopy (AFM)
./miclib_output/images/000862.jpg,"Ceramic, Polymer",Atomic force microscopy (AFM)
./miclib_output/images/000863.jpg,"Ceramic, Polymer",Atomic force microscopy (AFM)
./miclib_output/images/000864.jpg,Metal or alloy,Atomic force microscopy (AFM)
./miclib_output/images/000865.jpg,Metal or alloy,Atomic force microscopy (AFM)
./miclib_output/images/000866.jpg,Metal or alloy,Atomic force microscopy (AFM)
./miclib_output/images/000867.jpg,Metal or alloy,Atomic force microscopy (AFM)
./miclib_output/images/000673.jpg,Composite,Reflected light microscopy
./miclib_output/images/000674.jpg,Composite,Reflected light microscopy
./miclib_output/images/000675.jpg,Ceramic,Reflected light microscopy
./miclib_output/images/000676.jpg,Ceramic,Reflected light microscopy
./miclib_output/images/000677.jpg,Ceramic,Reflected light microscopy
./miclib_output/images/000640.jpg,"Fracture, Polymer",Scanning electron microscopy (SEM)
./miclib_output/images/000641.jpg,"Fracture, Polymer",Scanning electron microscopy (SEM)
./miclib_output/images/000642.jpg,"Fracture, Polymer",Scanning electron microscopy (SEM)
./miclib_output/images/000643.jpg,Polymer,Scanning electron microscopy (SEM)
./miclib_output/images/000644.jpg,Polymer,Scanning electron microscopy (SEM)
./miclib_output/images/000645.jpg,Polymer,Transmission electron microscopy (TEM)
./miclib_output/images/000646.jpg,Polymer,Atomic force microscopy (AFM)
./miclib_output/images/000647.jpg,Polymer,Atomic force microscopy (AFM)
